Area,Type,Educational Level,Count,Disability,Gender
Sikkim,Urban,Middle But Below Matric/Secondary,17,Seeing,Males
Sikkim,Urban,Matric/Secondary But Below Graduate,27,Seeing,Males
Sikkim,Urban,Graduate And Above,14,Seeing,Males
Arunachal Pradesh,Rural,Illiterate,1357,Seeing,Males
Arunachal Pradesh,Rural,Literate,977,Seeing,Males
Arunachal Pradesh,Rural,Literate But Below Primary,261,Seeing,Males
Arunachal Pradesh,Rural,Primary But Below Middle,257,Seeing,Males
Arunachal Pradesh,Rural,Middle But Below Matric/Secondary,182,Seeing,Males
Arunachal Pradesh,Rural,Matric/Secondary But Below Graduate,175,Seeing,Males
Arunachal Pradesh,Rural,Graduate And Above,50,Seeing,Males
Arunachal Pradesh,Urban,Illiterate,150,Seeing,Males
Arunachal Pradesh,Urban,Literate,378,Seeing,Males
Arunachal Pradesh,Urban,Literate But Below Primary,60,Seeing,Males
Arunachal Pradesh,Urban,Primary But Below Middle,78,Seeing,Males
Arunachal Pradesh,Urban,Middle But Below Matric/Secondary,61,Seeing,Males
Arunachal Pradesh,Urban,Matric/Secondary But Below Graduate,125,Seeing,Males
Arunachal Pradesh,Urban,Graduate And Above,46,Seeing,Males
Nagaland,Rural,Illiterate,802,Seeing,Males
Nagaland,Rural,Literate,887,Seeing,Males
Nagaland,Rural,Literate But Below Primary,227,Seeing,Males
Nagaland,Rural,Primary But Below Middle,247,Seeing,Males
Nagaland,Rural,Middle But Below Matric/Secondary,179,Seeing,Males
Nagaland,Rural,Matric/Secondary But Below Graduate,127,Seeing,Males
Nagaland,Rural,Graduate And Above,30,Seeing,Males
Nagaland,Urban,Illiterate,107,Seeing,Males
Nagaland,Urban,Literate,334,Seeing,Males
Nagaland,Urban,Literate But Below Primary,46,Seeing,Males
Nagaland,Urban,Primary But Below Middle,70,Seeing,Males
Nagaland,Urban,Middle But Below Matric/Secondary,66,Seeing,Males
Nagaland,Urban,Matric/Secondary But Below Graduate,87,Seeing,Males
Nagaland,Urban,Graduate And Above,46,Seeing,Males
Manipur,Rural,Illiterate,2134,Seeing,Males
Manipur,Rural,Literate,4836,Seeing,Males
Manipur,Rural,Literate But Below Primary,556,Seeing,Males
Manipur,Rural,Primary But Below Middle,837,Seeing,Males
Manipur,Rural,Middle But Below Matric/Secondary,1211,Seeing,Males
Manipur,Rural,Matric/Secondary But Below Graduate,1455,Seeing,Males
Manipur,Rural,Graduate And Above,510,Seeing,Males
Manipur,Urban,Illiterate,668,Seeing,Males
Manipur,Urban,Literate,2277,Seeing,Males
Manipur,Urban,Literate But Below Primary,200,Seeing,Males
Manipur,Urban,Primary But Below Middle,313,Seeing,Males
Manipur,Urban,Middle But Below Matric/Secondary,501,Seeing,Males
Manipur,Urban,Matric/Secondary But Below Graduate,757,Seeing,Males
Manipur,Urban,Graduate And Above,402,Seeing,Males
Mizoram,Rural,Illiterate,156,Seeing,Males
Mizoram,Rural,Literate,513,Seeing,Males
Mizoram,Rural,Literate But Below Primary,218,Seeing,Males
Mizoram,Rural,Primary But Below Middle,142,Seeing,Males
Mizoram,Rural,Middle But Below Matric/Secondary,79,Seeing,Males
Mizoram,Rural,Matric/Secondary But Below Graduate,49,Seeing,Males
Mizoram,Rural,Graduate And Above,9,Seeing,Males
Mizoram,Urban,Illiterate,59,Seeing,Males
Mizoram,Urban,Literate,359,Seeing,Males
Mizoram,Urban,Literate But Below Primary,89,Seeing,Males
Mizoram,Urban,Primary But Below Middle,81,Seeing,Males
Mizoram,Urban,Middle But Below Matric/Secondary,71,Seeing,Males
Mizoram,Urban,Matric/Secondary But Below Graduate,81,Seeing,Males
Mizoram,Urban,Graduate And Above,28,Seeing,Males
Tripura,Rural,Illiterate,1170,Seeing,Males
Tripura,Rural,Literate,2743,Seeing,Males
Tripura,Rural,Literate But Below Primary,833,Seeing,Males
Tripura,Rural,Primary But Below Middle,655,Seeing,Males
Tripura,Rural,Middle But Below Matric/Secondary,468,Seeing,Males
Tripura,Rural,Matric/Secondary But Below Graduate,432,Seeing,Males
Tripura,Rural,Graduate And Above,96,Seeing,Males
Tripura,Urban,Illiterate,248,Seeing,Males
Tripura,Urban,Literate,1351,Seeing,Males
Tripura,Urban,Literate But Below Primary,254,Seeing,Males
Tripura,Urban,Primary But Below Middle,275,Seeing,Males
Tripura,Urban,Middle But Below Matric/Secondary,273,Seeing,Males
Tripura,Urban,Matric/Secondary But Below Graduate,321,Seeing,Males
Tripura,Urban,Graduate And Above,154,Seeing,Males
Meghalaya,Rural,Illiterate,1503,Seeing,Males
Meghalaya,Rural,Literate,1523,Seeing,Males
Meghalaya,Rural,Literate But Below Primary,685,Seeing,Males
Meghalaya,Rural,Primary But Below Middle,323,Seeing,Males
Meghalaya,Rural,Middle But Below Matric/Secondary,192,Seeing,Males
Meghalaya,Rural,Matric/Secondary But Below Graduate,186,Seeing,Males
Meghalaya,Rural,Graduate And Above,26,Seeing,Males
Meghalaya,Urban,Illiterate,109,Seeing,Males
Meghalaya,Urban,Literate,359,Seeing,Males
Meghalaya,Urban,Literate But Below Primary,61,Seeing,Males
Meghalaya,Urban,Primary But Below Middle,66,Seeing,Males
Meghalaya,Urban,Middle But Below Matric/Secondary,84,Seeing,Males
Meghalaya,Urban,Matric/Secondary But Below Graduate,97,Seeing,Males
Meghalaya,Urban,Graduate And Above,37,Seeing,Males
Assam,Rural,Illiterate,16046,Seeing,Males
Assam,Rural,Literate,19906,Seeing,Males
Assam,Rural,Literate But Below Primary,5929,Seeing,Males
Assam,Rural,Primary But Below Middle,4836,Seeing,Males
Assam,Rural,Middle But Below Matric/Secondary,3958,Seeing,Males
Assam,Rural,Matric/Secondary But Below Graduate,3346,Seeing,Males
Assam,Rural,Graduate And Above,599,Seeing,Males
Assam,Urban,Illiterate,1070,Seeing,Males
Assam,Urban,Literate,4030,Seeing,Males
Assam,Urban,Literate But Below Primary,640,Seeing,Males
Assam,Urban,Primary But Below Middle,750,Seeing,Males
Assam,Urban,Middle But Below Matric/Secondary,808,Seeing,Males
Assam,Urban,Matric/Secondary But Below Graduate,1168,Seeing,Males
Assam,Urban,Graduate And Above,512,Seeing,Males
West Bengal,Rural,Illiterate,53310,Seeing,Males
West Bengal,Rural,Literate,92360,Seeing,Males
West Bengal,Rural,Literate But Below Primary,29471,Seeing,Males
West Bengal,Rural,Primary But Below Middle,22566,Seeing,Males
West Bengal,Rural,Middle But Below Matric/Secondary,18115,Seeing,Males
West Bengal,Rural,Matric/Secondary But Below Graduate,13845,Seeing,Males
West Bengal,Rural,Graduate And Above,4038,Seeing,Males
West Bengal,Urban,Illiterate,17501,Seeing,Males
West Bengal,Urban,Literate,60154,Seeing,Males
West Bengal,Urban,Literate But Below Primary,10076,Seeing,Males
West Bengal,Urban,Primary But Below Middle,10474,Seeing,Males
West Bengal,Urban,Middle But Below Matric/Secondary,11070,Seeing,Males
West Bengal,Urban,Matric/Secondary But Below Graduate,15341,Seeing,Males
West Bengal,Urban,Graduate And Above,10196,Seeing,Males
Jharkhand,Rural,Illiterate,34971,Seeing,Males
Jharkhand,Rural,Literate,39828,Seeing,Males
Jharkhand,Rural,Literate But Below Primary,9606,Seeing,Males
Jharkhand,Rural,Primary But Below Middle,11994,Seeing,Males
Jharkhand,Rural,Middle But Below Matric/Secondary,7368,Seeing,Males
Jharkhand,Rural,Matric/Secondary But Below Graduate,7236,Seeing,Males
Jharkhand,Rural,Graduate And Above,1480,Seeing,Males
Jharkhand,Urban,Illiterate,5589,Seeing,Males
Jharkhand,Urban,Literate,15654,Seeing,Males
Jharkhand,Urban,Literate But Below Primary,2174,Seeing,Males
Jharkhand,Urban,Primary But Below Middle,3024,Seeing,Males
Jharkhand,Urban,Middle But Below Matric/Secondary,2496,Seeing,Males
Jharkhand,Urban,Matric/Secondary But Below Graduate,4923,Seeing,Males
Jharkhand,Urban,Graduate And Above,2569,Seeing,Males
Odisha,Rural,Illiterate,44643,Seeing,Males
Odisha,Rural,Literate,72947,Seeing,Males
Odisha,Rural,Literate But Below Primary,21108,Seeing,Males
Odisha,Rural,Primary But Below Middle,22435,Seeing,Males
Odisha,Rural,Middle But Below Matric/Secondary,12077,Seeing,Males
Odisha,Rural,Matric/Secondary But Below Graduate,11092,Seeing,Males
Odisha,Rural,Graduate And Above,2963,Seeing,Males
Odisha,Urban,Illiterate,4290,Seeing,Males
Odisha,Urban,Literate,14971,Seeing,Males
Odisha,Urban,Literate But Below Primary,2142,Seeing,Males
Odisha,Urban,Primary But Below Middle,3268,Seeing,Males
Odisha,Urban,Middle But Below Matric/Secondary,2300,Seeing,Males
Odisha,Urban,Matric/Secondary But Below Graduate,4258,Seeing,Males
Odisha,Urban,Graduate And Above,2389,Seeing,Males
Chhattisgarh,Rural,Illiterate,19614,Seeing,Males
Chhattisgarh,Rural,Literate,24298,Seeing,Males
Chhattisgarh,Rural,Literate But Below Primary,8048,Seeing,Males
Chhattisgarh,Rural,Primary But Below Middle,6693,Seeing,Males
Chhattisgarh,Rural,Middle But Below Matric/Secondary,4341,Seeing,Males
Chhattisgarh,Rural,Matric/Secondary But Below Graduate,3470,Seeing,Males
Chhattisgarh,Rural,Graduate And Above,854,Seeing,Males
Chhattisgarh,Urban,Illiterate,2858,Seeing,Males
Chhattisgarh,Urban,Literate,9296,Seeing,Males
Chhattisgarh,Urban,Literate But Below Primary,1614,Seeing,Males
Chhattisgarh,Urban,Primary But Below Middle,1960,Seeing,Males
Chhattisgarh,Urban,Middle But Below Matric/Secondary,1436,Seeing,Males
Chhattisgarh,Urban,Matric/Secondary But Below Graduate,2567,Seeing,Males
Chhattisgarh,Urban,Graduate And Above,1480,Seeing,Males
Madhya Pradesh,Rural,Illiterate,49282,Seeing,Males
Madhya Pradesh,Rural,Literate,52341,Seeing,Males
Madhya Pradesh,Rural,Literate But Below Primary,13930,Seeing,Males
Madhya Pradesh,Rural,Primary But Below Middle,16298,Seeing,Males
Madhya Pradesh,Rural,Middle But Below Matric/Secondary,9786,Seeing,Males
Madhya Pradesh,Rural,Matric/Secondary But Below Graduate,7022,Seeing,Males
Madhya Pradesh,Rural,Graduate And Above,1736,Seeing,Males
Madhya Pradesh,Urban,Illiterate,11189,Seeing,Males
Madhya Pradesh,Urban,Literate,31470,Seeing,Males
Madhya Pradesh,Urban,Literate But Below Primary,4373,Seeing,Males
Madhya Pradesh,Urban,Primary But Below Middle,6377,Seeing,Males
Madhya Pradesh,Urban,Middle But Below Matric/Secondary,5328,Seeing,Males
Madhya Pradesh,Urban,Matric/Secondary But Below Graduate,8798,Seeing,Males
Madhya Pradesh,Urban,Graduate And Above,5234,Seeing,Males
Gujarat,Rural,Illiterate,19338,Seeing,Males
Gujarat,Rural,Literate,32130,Seeing,Males
Gujarat,Rural,Literate But Below Primary,9231,Seeing,Males
Gujarat,Rural,Primary But Below Middle,8933,Seeing,Males
Gujarat,Rural,Middle But Below Matric/Secondary,4767,Seeing,Males
Gujarat,Rural,Matric/Secondary But Below Graduate,6127,Seeing,Males
Gujarat,Rural,Graduate And Above,982,Seeing,Males
Gujarat,Urban,Illiterate,12802,Seeing,Males
Gujarat,Urban,Literate,49347,Seeing,Males
Gujarat,Urban,Literate But Below Primary,6981,Seeing,Males
Gujarat,Urban,Primary But Below Middle,9779,Seeing,Males
Gujarat,Urban,Middle But Below Matric/Secondary,7962,Seeing,Males
Gujarat,Urban,Matric/Secondary But Below Graduate,15451,Seeing,Males
Gujarat,Urban,Graduate And Above,7174,Seeing,Males
Daman & Diu,Rural,Illiterate,20,Seeing,Males
Daman & Diu,Rural,Literate,75,Seeing,Males
Daman & Diu,Rural,Literate But Below Primary,15,Seeing,Males
Daman & Diu,Rural,Primary But Below Middle,15,Seeing,Males
Daman & Diu,Rural,Middle But Below Matric/Secondary,18,Seeing,Males
Daman & Diu,Rural,Matric/Secondary But Below Graduate,24,Seeing,Males
Daman & Diu,Rural,Graduate And Above,1,Seeing,Males
Daman & Diu,Urban,Illiterate,33,Seeing,Males
Daman & Diu,Urban,Literate,94,Seeing,Males
Daman & Diu,Urban,Literate But Below Primary,13,Seeing,Males
Daman & Diu,Urban,Primary But Below Middle,14,Seeing,Males
Daman & Diu,Urban,Middle But Below Matric/Secondary,18,Seeing,Males
Daman & Diu,Urban,Matric/Secondary But Below Graduate,37,Seeing,Males
Daman & Diu,Urban,Graduate And Above,9,Seeing,Males
Dadra & Nagar Haveli,Rural,Illiterate,75,Seeing,Males
Dadra & Nagar Haveli,Rural,Literate,61,Seeing,Males
Dadra & Nagar Haveli,Rural,Literate But Below Primary,13,Seeing,Males
Dadra & Nagar Haveli,Rural,Primary But Below Middle,21,Seeing,Males
Dadra & Nagar Haveli,Rural,Middle But Below Matric/Secondary,7,Seeing,Males
Dadra & Nagar Haveli,Rural,Matric/Secondary But Below Graduate,11,Seeing,Males
Dadra & Nagar Haveli,Rural,Graduate And Above,2,Seeing,Males
Dadra & Nagar Haveli,Urban,Illiterate,29,Seeing,Males
Dadra & Nagar Haveli,Urban,Literate,69,Seeing,Males
Dadra & Nagar Haveli,Urban,Literate But Below Primary,10,Seeing,Males
Dadra & Nagar Haveli,Urban,Primary But Below Middle,13,Seeing,Males
Dadra & Nagar Haveli,Urban,Middle But Below Matric/Secondary,10,Seeing,Males
Dadra & Nagar Haveli,Urban,Matric/Secondary But Below Graduate,20,Seeing,Males
Dadra & Nagar Haveli,Urban,Graduate And Above,9,Seeing,Males
Maharashtra,Rural,Illiterate,52503,Seeing,Males
Maharashtra,Rural,Literate,118864,Seeing,Males
Maharashtra,Rural,Literate But Below Primary,32441,Seeing,Males
Maharashtra,Rural,Primary But Below Middle,25819,Seeing,Males
Maharashtra,Rural,Middle But Below Matric/Secondary,17966,Seeing,Males
Maharashtra,Rural,Matric/Secondary But Below Graduate,28144,Seeing,Males
Maharashtra,Rural,Graduate And Above,6343,Seeing,Males
Maharashtra,Urban,Illiterate,26547,Seeing,Males
Maharashtra,Urban,Literate,113921,Seeing,Males
Maharashtra,Urban,Literate But Below Primary,15455,Seeing,Males
Maharashtra,Urban,Primary But Below Middle,19883,Seeing,Males
Maharashtra,Urban,Middle But Below Matric/Secondary,16647,Seeing,Males
Maharashtra,Urban,Matric/Secondary But Below Graduate,38022,Seeing,Males
Maharashtra,Urban,Graduate And Above,18404,Seeing,Males
Andhra Pradesh,Rural,Illiterate,71212,Seeing,Males
Andhra Pradesh,Rural,Literate,56167,Seeing,Males
Andhra Pradesh,Rural,Literate But Below Primary,10254,Seeing,Males
Andhra Pradesh,Rural,Primary But Below Middle,18151,Seeing,Males
Andhra Pradesh,Rural,Middle But Below Matric/Secondary,5898,Seeing,Males
Andhra Pradesh,Rural,Matric/Secondary But Below Graduate,13341,Seeing,Males
Andhra Pradesh,Rural,Graduate And Above,3550,Seeing,Males
Andhra Pradesh,Urban,Illiterate,19282,Seeing,Males
Andhra Pradesh,Urban,Literate,51812,Seeing,Males
Andhra Pradesh,Urban,Literate But Below Primary,4987,Seeing,Males
Andhra Pradesh,Urban,Primary But Below Middle,10029,Seeing,Males
Andhra Pradesh,Urban,Middle But Below Matric/Secondary,4274,Seeing,Males
Andhra Pradesh,Urban,Matric/Secondary But Below Graduate,17401,Seeing,Males
Andhra Pradesh,Urban,Graduate And Above,10119,Seeing,Males
Karnataka,Rural,Illiterate,29208,Seeing,Males
Karnataka,Rural,Literate,40058,Seeing,Males
Karnataka,Rural,Literate But Below Primary,9183,Seeing,Males
Karnataka,Rural,Primary But Below Middle,11110,Seeing,Males
Karnataka,Rural,Middle But Below Matric/Secondary,5704,Seeing,Males
Karnataka,Rural,Matric/Secondary But Below Graduate,9368,Seeing,Males
Karnataka,Rural,Graduate And Above,1708,Seeing,Males
Karnataka,Urban,Illiterate,13539,Seeing,Males
Karnataka,Urban,Literate,51104,Seeing,Males
Karnataka,Urban,Literate But Below Primary,5463,Seeing,Males
Karnataka,Urban,Primary But Below Middle,8698,Seeing,Males
Karnataka,Urban,Middle But Below Matric/Secondary,5047,Seeing,Males
Karnataka,Urban,Matric/Secondary But Below Graduate,18941,Seeing,Males
Karnataka,Urban,Graduate And Above,10721,Seeing,Males
Goa,Rural,Illiterate,265,Seeing,Males
Goa,Rural,Literate,873,Seeing,Males
Goa,Rural,Literate But Below Primary,208,Seeing,Males
Goa,Rural,Primary But Below Middle,138,Seeing,Males
Goa,Rural,Middle But Below Matric/Secondary,122,Seeing,Males
Goa,Rural,Matric/Secondary But Below Graduate,250,Seeing,Males
Goa,Rural,Graduate And Above,48,Seeing,Males
Goa,Urban,Illiterate,195,Seeing,Males
Goa,Urban,Literate,1017,Seeing,Males
Goa,Urban,Literate But Below Primary,162,Seeing,Males
Goa,Urban,Primary But Below Middle,155,Seeing,Males
Goa,Urban,Middle But Below Matric/Secondary,119,Seeing,Males
Goa,Urban,Matric/Secondary But Below Graduate,349,Seeing,Males
Goa,Urban,Graduate And Above,150,Seeing,Males
Lakshadweep,Rural,Illiterate,5,Seeing,Males
Lakshadweep,Rural,Literate,40,Seeing,Males
Lakshadweep,Rural,Literate But Below Primary,9,Seeing,Males
Lakshadweep,Rural,Primary But Below Middle,8,Seeing,Males
Lakshadweep,Rural,Middle But Below Matric/Secondary,6,Seeing,Males
Lakshadweep,Rural,Matric/Secondary But Below Graduate,15,Seeing,Males
Lakshadweep,Rural,Graduate And Above,1,Seeing,Males
Lakshadweep,Urban,Illiterate,21,Seeing,Males
Lakshadweep,Urban,Literate,83,Seeing,Males
Lakshadweep,Urban,Literate But Below Primary,23,Seeing,Males
Lakshadweep,Urban,Primary But Below Middle,21,Seeing,Males
Lakshadweep,Urban,Middle But Below Matric/Secondary,14,Seeing,Males
Lakshadweep,Urban,Matric/Secondary But Below Graduate,19,Seeing,Males
Lakshadweep,Urban,Graduate And Above,3,Seeing,Males
Kerala,Rural,Illiterate,5284,Seeing,Males
Kerala,Rural,Literate,23871,Seeing,Males
Kerala,Rural,Literate But Below Primary,6154,Seeing,Males
Kerala,Rural,Primary But Below Middle,5983,Seeing,Males
Kerala,Rural,Middle But Below Matric/Secondary,3882,Seeing,Males
